"","sim","Season","LCI","UCI","rho","rel_diff","lsigma_phi_aut","cov_spr"
"1",1,"Autumn",-0.0690127564679505,0.840225823373728,0.475569489209826,1,0.02,0
"2",1,"Spring",-0.461644997769456,0.753154868279816,0.235417707752542,1,0.02,0
"3",2,"Autumn",-0.144547837004223,0.763945001107395,0.401285160133515,0.875,0.02,0
"4",2,"Spring",-0.17824196015948,0.745198162604323,0.386513652695194,0.875,0.02,0
"5",3,"Autumn",-0.21996668113527,0.76233649382991,0.337501688063214,0.75,0.02,0
"6",3,"Spring",-0.0340576649099187,0.809106814602545,0.466458057678928,0.75,0.02,0
"7",4,"Autumn",0.53456330967539,0.964435995733949,0.851165249864437,1,0.25,0
"8",4,"Spring",0.165847782395696,0.910998386674894,0.619942655416828,1,0.25,0
"9",5,"Autumn",0.484717522387679,0.944248201645476,0.756966972335327,0.875,0.25,0
"10",5,"Spring",0.50855176828808,0.941016906073913,0.775713170629568,0.875,0.25,0
"11",6,"Autumn",0.352819855118846,0.927989551848636,0.701731930640438,0.75,0.25,0
"12",6,"Spring",0.614406808065168,0.948668414243527,0.829745604206826,0.75,0.25,0
"13",7,"Autumn",0.690593475510649,0.981288301706977,0.889779502301387,1,0.5,0
"14",7,"Spring",0.278633252607004,0.941733045275325,0.723160913091582,1,0.5,0
"15",8,"Autumn",0.517808572247336,0.961520208101069,0.828532243150245,0.875,0.5,0
"16",8,"Spring",0.623364062654371,0.958063716400976,0.83929079176123,0.875,0.5,0
"17",9,"Autumn",0.459992036448944,0.960272162963949,0.771907067989254,0.75,0.5,0
"18",9,"Spring",0.64744990350227,0.966684416547538,0.871646260492008,0.75,0.5,0
"19",10,"Autumn",0.0566203200257691,0.843408129035435,0.522849709178231,1,0.02,0.4
"20",10,"Spring",-0.169015447321613,0.74514699856832,0.33453798915774,1,0.02,0.4
"21",11,"Autumn",-0.0374142075158249,0.818474873695944,0.443794947111287,0.875,0.02,0.4
"22",11,"Spring",-0.209199782911403,0.830275626146098,0.435052706904946,0.875,0.02,0.4
"23",12,"Autumn",-0.157202804696418,0.794510392976382,0.38008638792385,0.75,0.02,0.4
"24",12,"Spring",-0.00586928594118806,0.817258352308204,0.500976313329531,0.75,0.02,0.4
"25",13,"Autumn",0.598954774974112,0.974943180188207,0.847572960343473,1,0.25,0.4
"26",13,"Spring",0.325498707803235,0.905121419282504,0.69013007130466,1,0.25,0.4
"27",14,"Autumn",0.462106269390848,0.940661112694099,0.783500920964386,0.875,0.25,0.4
"28",14,"Spring",0.594332695213208,0.938603397052741,0.812410961729438,0.875,0.25,0.4
"29",15,"Autumn",0.28001472704494,0.92529285901972,0.714328776581666,0.75,0.25,0.4
"30",15,"Spring",0.685995549092791,0.965805003389135,0.859643395228523,0.75,0.25,0.4
"31",16,"Autumn",0.597894416804599,0.972134159801742,0.881298632744009,1,0.5,0.4
"32",16,"Spring",0.429051894703755,0.945213472378569,0.765563418882541,1,0.5,0.4
"33",17,"Autumn",0.557019764052648,0.967575179846744,0.841975846316104,0.875,0.5,0.4
"34",17,"Spring",0.68405262699857,0.967756199369456,0.871664139786616,0.875,0.5,0.4
"35",18,"Autumn",0.388108077697186,0.95953286928963,0.801938646820773,0.75,0.5,0.4
"36",18,"Spring",0.782823064052816,0.973293256057868,0.902441059557446,0.75,0.5,0.4
"37",19,"Autumn",0.0637313208582022,0.814025845538921,0.504140058556768,1,0.02,0.8
"38",19,"Spring",-0.139406666018463,0.771247981193455,0.3666338990026,1,0.02,0.8
"39",20,"Autumn",0.02829025756794,0.825415550825104,0.503399906339862,0.875,0.02,0.8
"40",20,"Spring",-0.0901521087200421,0.812342028477071,0.4669846777969,0.875,0.02,0.8
"41",21,"Autumn",-0.0604063999359916,0.795634065639933,0.456995443273851,0.75,0.02,0.8
"42",21,"Spring",0.0593056278530887,0.842915930576422,0.51529054128791,0.75,0.02,0.8
"43",22,"Autumn",0.639666543673944,0.965488286304169,0.873184763820456,1,0.25,0.8
"44",22,"Spring",0.401854430395917,0.918508134524475,0.724126844152408,1,0.25,0.8
"45",23,"Autumn",0.440690076931383,0.951540741078212,0.80589525585343,0.875,0.25,0.8
"46",23,"Spring",0.595707454378192,0.967697549675715,0.837167620144236,0.875,0.25,0.8
"47",24,"Autumn",0.4352921560684,0.937101479628335,0.766646970644184,0.75,0.25,0.8
"48",24,"Spring",0.659497540453483,0.962440631804946,0.86798688784889,0.75,0.25,0.8
"49",25,"Autumn",0.541094555240651,0.982074988261529,0.890809725281207,1,0.5,0.8
"50",25,"Spring",0.493992128252275,0.962219374656471,0.809546770064348,1,0.5,0.8
"51",26,"Autumn",0.565721299784566,0.974939333463555,0.858725912988398,0.875,0.5,0.8
"52",26,"Spring",0.701424774547282,0.973003263581212,0.887408622689426,0.875,0.5,0.8
"53",27,"Autumn",0.490617353869031,0.965383549856435,0.815902840041993,0.75,0.5,0.8
"54",27,"Spring",0.71529175315527,0.973700431532613,0.908809992602179,0.75,0.5,0.8
