"","sim","Season","LCI","UCI","rho","beta.spr","beta.aut","r.var"
"1",1,"Autumn",-0.35629008250867,0.698818043781296,0.247112259063668,0,0,0.02
"2",1,"Spring",-0.163810990943705,0.819854467876095,0.395999694534148,0,0,0.02
"3",2,"Autumn",-0.338179249700704,0.774257378674673,0.218001302403662,0.5,0,0.02
"4",2,"Spring",0.855476734637229,0.991103850440101,0.956769942514342,0.5,0,0.02
"5",3,"Autumn",-0.337615001066614,0.649354612970726,0.230609449590739,1,0,0.02
"6",3,"Spring",0.967846666462047,0.997960092330687,0.988620940252883,1,0,0.02
"7",4,"Autumn",0.750650523887608,0.989199554683348,0.932299971894807,0,0.5,0.02
"8",4,"Spring",-0.254174599948551,0.856256997926899,0.401011012367797,0,0.5,0.02
"9",5,"Autumn",0.763964683371798,0.989823957401508,0.944138436643579,0.5,0.5,0.02
"10",5,"Spring",0.889813060672613,0.99137223621848,0.959078487407119,0.5,0.5,0.02
"11",6,"Autumn",0.744823144404199,0.990610563609244,0.940286919363124,1,0.5,0.02
"12",6,"Spring",0.962222326592171,0.998201898570058,0.988106692765283,1,0.5,0.02
"13",7,"Autumn",0.943298425359522,0.997513220110347,0.980867315136149,0,1,0.02
"14",7,"Spring",-0.180876468187629,0.808533223468429,0.3979235083898,0,1,0.02
"15",8,"Autumn",0.945796968291235,0.997661750867831,0.982975929476466,0.5,1,0.02
"16",8,"Spring",0.879081726862609,0.99312784489901,0.960168619758055,0.5,1,0.02
"17",9,"Autumn",0.939496965674845,0.997587551106348,0.983417718333384,1,1,0.02
"18",9,"Spring",0.964523461569688,0.997337016780407,0.988382413952501,1,1,0.02
"19",10,"Autumn",0.0111874318452255,0.926217158487641,0.657426918066572,0,0,0.25
"20",10,"Spring",0.524170010150264,0.956208174591066,0.817457543473765,0,0,0.25
"21",11,"Autumn",0.175229511026802,0.916963990061667,0.657657911559083,0.5,0,0.25
"22",11,"Spring",0.748823115732016,0.981102321702757,0.913350076748211,0.5,0,0.25
"23",12,"Autumn",0.0466943952577256,0.926717716810024,0.637775335650768,1,0,0.25
"24",12,"Spring",0.881244711239175,0.991744481590859,0.959362381893264,1,0,0.25
"25",13,"Autumn",0.484497538192316,0.969790474538638,0.846970842031318,0,0.5,0.25
"26",13,"Spring",0.550964157681862,0.965130132877954,0.826346763931121,0,0.5,0.25
"27",14,"Autumn",0.401218896726718,0.969484653881996,0.833608988776487,0.5,0.5,0.25
"28",14,"Spring",0.743820386349552,0.981019158246323,0.900882326963731,0.5,0.5,0.25
"29",15,"Autumn",0.380751058679072,0.967448376466294,0.819695035879278,1,0.5,0.25
"30",15,"Spring",0.888534516518889,0.993205415858098,0.961178353476723,1,0.5,0.25
"31",16,"Autumn",0.784590239025638,0.991448236973721,0.939599159862374,0,1,0.25
"32",16,"Spring",0.464241187630472,0.951126542304225,0.802297508970398,0,1,0.25
"33",17,"Autumn",0.839782295121677,0.990278226328456,0.946248413545763,0.5,1,0.25
"34",17,"Spring",0.700646943363117,0.980921634586234,0.902463694275227,0.5,1,0.25
"35",18,"Autumn",0.797164421019569,0.991663763704206,0.939499114606526,1,1,0.25
"36",18,"Spring",0.878329606887235,0.992346558361423,0.961060576915878,1,1,0.25
"37",19,"Autumn",0.315264642177617,0.952503904895657,0.758785757164654,0,0,0.5
"38",19,"Spring",0.63249387793899,0.970047149481254,0.86813802369623,0,0,0.5
"39",20,"Autumn",0.249650944185509,0.953145547472996,0.753804276486514,0.5,0,0.5
"40",20,"Spring",0.752106561592724,0.982064609713216,0.918246344709502,0.5,0,0.5
"41",21,"Autumn",0.202086895255701,0.955430746196931,0.73871332397295,1,0,0.5
"42",21,"Spring",0.844912170779662,0.993373612702819,0.955454974117475,1,0,0.5
"43",22,"Autumn",0.449966446269382,0.979499694641896,0.838135725298844,0,0.5,0.5
"44",22,"Spring",0.61693697235797,0.972095304813411,0.876622767332866,0,0.5,0.5
"45",23,"Autumn",0.458901774818073,0.97496558317513,0.841007386100023,0.5,0.5,0.5
"46",23,"Spring",0.733046832290168,0.988169539774208,0.913830127478779,0.5,0.5,0.5
"47",24,"Autumn",0.5514743497358,0.977799301024498,0.862749585491949,1,0.5,0.5
"48",24,"Spring",0.859292348548872,0.992581465135423,0.956664206630605,1,0.5,0.5
"49",25,"Autumn",0.764706813068919,0.988313861017462,0.929302174068798,0,1,0.5
"50",25,"Spring",0.527361800506554,0.977835832575331,0.862147711621747,0,1,0.5
"51",26,"Autumn",0.783461295368931,0.988769649042646,0.937456874594729,0.5,1,0.5
"52",26,"Spring",0.680732389591053,0.980428457209824,0.897771492574187,0.5,1,0.5
"53",27,"Autumn",0.774414301928339,0.989254975030101,0.930547334368132,1,1,0.5
"54",27,"Spring",0.857476298069806,0.989965848039733,0.953512589873835,1,1,0.5
