"","sim","Season","rel.bias","rmse","beta.spr","beta.aut","r.var","power"
"1",1,"Autumn",-0.0373544155934091,0.0668790386355044,0,0,0.02,0.916
"2",1,"Spring",0.120679691278979,0.147957871477806,0,0,0.02,0.916
"3",2,"Autumn",0.0103019090611656,0.0571165715258301,0.5,0,0.02,0.984
"4",2,"Spring",0.0104170725950562,0.0922094225183744,0.5,0,0.02,0.984
"5",3,"Autumn",0.0229585357267098,0.0575919767493688,1,0,0.02,1
"6",3,"Spring",-0.0273259733762051,0.0888451380252025,1,0,0.02,1
"7",4,"Autumn",-0.0662139156447999,0.110164434525197,0,0.5,0.02,0.68
"8",4,"Spring",0.177673546713983,0.214192278176003,0,0.5,0.02,0.68
"9",5,"Autumn",-0.0133838456904337,0.0529915218380752,0.5,0.5,0.02,0.976
"10",5,"Spring",0.0544973669672403,0.0991935862818769,0.5,0.5,0.02,0.976
"11",6,"Autumn",0.00373248568997829,0.0429512197744197,1,0.5,0.02,0.996
"12",6,"Spring",0.013566126975428,0.0789550796814126,1,0.5,0.02,0.996
"13",7,"Autumn",-0.0493208763929153,0.0984431958227468,0,1,0.02,0.796
"14",7,"Spring",0.122497723038758,0.173053265011789,0,1,0.02,0.796
"15",8,"Autumn",-0.0184069653066527,0.0612945246845363,0.5,1,0.02,0.976
"16",8,"Spring",0.0559746725290742,0.105298578413238,0.5,1,0.02,0.976
"17",9,"Autumn",-0.00530835247010312,0.0446264727862072,1,1,0.02,0.992
"18",9,"Spring",0.026724037501303,0.0762354251177938,1,1,0.02,0.992
"19",10,"Autumn",-0.0245784522406306,0.0705809214629484,0,0,0.25,0.936
"20",10,"Spring",0.0741986259473496,0.135483717541958,0,0,0.25,0.936
"21",11,"Autumn",-0.0147383545948736,0.0644595410275822,0.5,0,0.25,0.964
"22",11,"Spring",0.0440622156316068,0.1196274812648,0.5,0,0.25,0.964
"23",12,"Autumn",0.00244021853222851,0.0559411215675312,1,0,0.25,0.972
"24",12,"Spring",0.0141400881760138,0.1095913665574,1,0,0.25,0.972
"25",13,"Autumn",-0.0329031806888932,0.0776039971541786,0,0.5,0.25,0.924
"26",13,"Spring",0.0868547140043172,0.14145602429623,0,0.5,0.25,0.924
"27",14,"Autumn",-0.0164206079371056,0.0665040177586615,0.5,0.5,0.25,0.944
"28",14,"Spring",0.0468836188909069,0.11593976710762,0.5,0.5,0.25,0.944
"29",15,"Autumn",-0.00533780294373931,0.054510414993951,1,0.5,0.25,0.992
"30",15,"Spring",0.0222822715843969,0.104297420394215,1,0.5,0.25,0.992
"31",16,"Autumn",-0.0370034647191088,0.0808299054422367,0,1,0.25,0.908
"32",16,"Spring",0.0796287137319069,0.13475660780967,0,1,0.25,0.908
"33",17,"Autumn",-0.0231535424509085,0.0761154947711907,0.5,1,0.25,0.904
"34",17,"Spring",0.0659322365981102,0.13409226779714,0.5,1,0.25,0.904
"35",18,"Autumn",-0.0103538920088712,0.0573321026383282,1,1,0.25,0.98
"36",18,"Spring",0.0399892477692147,0.112311041299983,1,1,0.25,0.98
"37",19,"Autumn",-0.0234973150000249,0.0732432425382672,0,0,0.5,0.956
"38",19,"Spring",0.0444992415770906,0.122412060911457,0,0,0.5,0.956
"39",20,"Autumn",-0.023250175357983,0.0716224513680791,0.5,0,0.5,0.956
"40",20,"Spring",0.0522425469224034,0.131782758418965,0.5,0,0.5,0.956
"41",21,"Autumn",-0.00817425309371871,0.0582241109840931,1,0,0.5,0.984
"42",21,"Spring",0.0190023816786382,0.114118631568356,1,0,0.5,0.984
"43",22,"Autumn",-0.0221310028298282,0.0706990983597762,0,0.5,0.5,0.944
"44",22,"Spring",0.0411950943459575,0.121777486173156,0,0.5,0.5,0.944
"45",23,"Autumn",-0.0207990872778701,0.0680827866495769,0.5,0.5,0.5,0.956
"46",23,"Spring",0.04457663517392,0.12384710571996,0.5,0.5,0.5,0.956
"47",24,"Autumn",-0.0194202901227461,0.0639264475400636,1,0.5,0.5,0.96
"48",24,"Spring",0.0296583134759296,0.118255335703338,1,0.5,0.5,0.96
"49",25,"Autumn",-0.0364312364032523,0.0889274881833678,0,1,0.5,0.904
"50",25,"Spring",0.0655392149076197,0.135881283769761,0,1,0.5,0.904
"51",26,"Autumn",-0.0271864939622124,0.0807034774505414,0.5,1,0.5,0.932
"52",26,"Spring",0.0564584866592358,0.122706577410984,0.5,1,0.5,0.932
"53",27,"Autumn",-0.0152450048485953,0.0666696243535692,1,1,0.5,0.96
"54",27,"Spring",0.0392733659530891,0.113187644277046,1,1,0.5,0.96
